plaintext, ciphertext
XKGBGKASOFNJQSTCMOVDDKMXMVNDZICGCDOFSEMFPIEXZXJKRZMSAKAECMXLXADGMFCKENXDGLJK, OBXSXBRJFWEAHJKTDFMUUBDODMEUQZTXTUFWJVDWGZVOQOABIQDJRBRVTDOCORUXDWTBVEOUXCAB
DEVFJOZCLUGDFNCQBXQHHVVXHMENDIYSBGBAKBMARHGIOABWPKHZMOPUXXEUDCWKIFTAEOQDHELUVTBBDDMBKXJKAIQONIKRCOGSSXYVOAVSPLBRNVKERKIKYGZNRAG, BCTDHMXAJSEBDLAOZVOFFTTVFKCLBGWQZEZYIZKYPFEGMYZUNIFXKMNSVVCSBAUIGDRYCMOBFCJSTRZZBBKZIVHIYGOMLGIPAMEQQVWTMYTQNJZPLTICPIGIWEXLPYE
JKGSXSDPLIEZVKTRKSQLCAJJRYWJJSTYMBNAENLVQYUQAYKEUTMACPKSKFUMJROYTIHLFDIVGBATJHWLZPBJDQVTHEUXTGUYVDCIEAVCQAFWAOJPEXSALFHMVAJI, GHDPUPAMIFBWSHQOHPNIZXGGOVTGGPQVJYKXBKISNVRNXVHBRQJXZMHPHCRJGOLVQFEICAFSDYXQGETIWMYGANSQEBRUQDRVSAZFBXSZNXCTXLGMBUPXICEJSXGF
KSWTLPHYEWZBAAVJRPWYFUBSUXVLLYSMMSVRXHXBQEJISWUBEABIALRCZJQXQVDHRSLMXSBMDXODCKIXSUDJCJZRQNVDSH, JRVSKOGXDVYAZZUIQOVXETARTWUKKXRLLRUQWGWAPDIHRVTADZAHZKQBYIPWPUCGQRKLWRALCWNCBJHWRTCIBIYQPMUCRG
ZQZGYLEFGLANYVKTYKJOEIBEOVPOFONAQJSEFSXGAIAT, EVELDQJKLQFSDAPYDPOTJNGJTAUTKTSFVOXJKXCLFNFY
WLAULZMNSAZCRJCWWFJKTEIETIKYUPAMRKVPZYLLAXAYPNGUNLDMGKUVZTYSVSGOXJCZBZSVLIFRIEDAWFTSTEPLIMETYJWSAXZILNWLUSACJZ, MBQKBPCDIQPSHZSMMVZAJUYUJYAOKFQCHALFPOBBQNQOFDWKDBTCWAKLPJOILIWENZSPRPILBYVHYUTQMVJIJUFBYCUJOZMIQNPYBDMBKIQSZP
KGCOZUXPKWPLJPDKUELFPGLNQBCROIEBSAESZJRZMRNEUKJCMYMMQLTFQKLRAWPRYEKKCHDWNRLHUTEKZERRFNYGZIGZFDXUTHGYMBZYKFMZQTMHFGFXJYJNK, SOKWHCFXSEXTRXLSCMTNXOTVYJKZWQMJAIMAHRZHUZVMCSRKUGUUYTBNYSTZIEXZGMSSKPLEVZTPCBMSHMZZNVGOHQOHNLFCBPOGUJHGSNUHYBUPNONFRGRVS
YSHVXMIKRVGHUQWKMDFNTVKIWVMHWMHGLOKEGISZRJJXSKGXUZVDSLRIELOZKMSLSJOZIMAWZEGXIREFUIVBLLESLLRS, BVKYAPLNUYJKXTZNPGIQWYNLZYPKZPKJORNHJLVCUMMAVNJAXCYGVOULHORCNPVOVMRCLPDZCHJALUHIXLYEOOHVOOUV
YNMAMDABGDQWUVJASAHOVRNNBEAYYSSIDWAEXXUZNQYPBLTWGVCAJZLQVRUXTKOOZXYTFARFBNMBOSXNZFLQGBTUUQCIWLFWSPVPYEOVEOUCEYAH, YNMAMDABGDQWUVJASAHOVRNNBEAYYSSIDWAEXXUZNQYPBLTWGVCAJZLQVRUXTKOOZXYTFARFBNMBOSXNZFLQGBTUUQCIWLFWSPVPYEOVEOUCEYAH
LDQ, GYL
