Your mind resonates with the inscrutable thought processes that inhuman aberrations use to communicate., Vlro jfka obplkxqbp tfqe qeb fkpzorqxyib qelrdeq molzbppbp qexq fkerjxk xybooxqflkp rpb ql zljjrkfzxqb.
"You're an incredible acrobat, evoking wonder and enrapturing audiences with your prowess.", "Dtz'wj fs nshwjingqj fhwtgfy, jatpnsl btsijw fsi jswfuyzwnsl fzinjshjx bnym dtzw uwtbjxx."
You’ve studied the routes by which qi flows through the body., Sio’py mnoxcyx nby lionym vs qbcwb kc zfiqm nblioab nby vixs.
"When you are raging, your visual senses improve, granting you darkvision.", "Qbyh sio uly luacha, siol pcmouf myhmym cgjlipy, aluhncha sio xulepcmcih."
"Through study of multiple magical traditions, you’ve altered a spell to suit your spellcasting style.", "Esczfrs defoj zq xfwetawp xlrtnlw eclotetzyd, jzf’gp lwepcpo l dapww ez dfte jzfc dapwwnldetyr dejwp."
"After years of using black powder weaponry in dimly lit spaces, you've become accustomed to dazzling flashes of light and sudden shifts in illumination.", "Zesdq xdzqr ne trhmf akzbj onvcdq vdzonmqx hm chlkx khs rozbdr, xnt'ud adbnld zbbtrsnldc sn czyykhmf ekzrgdr ne khfgs zmc rtccdm rghesr hm hkktlhmzshnm."
Become trained in another Lore subcategory, Dgeqog vtckpgf kp cpqvjgt Nqtg uwdecvgiqta
You descend from the rare psychic vampires known as vetalaranas., Aqw fguegpf htqo vjg tctg ruaejke xcorktgu mpqyp cu xgvcnctcpcu.
Gain access to ancestry feats from another ancestry, Eygl yaacqq rm ylacqrpw dcyrq dpmk ylmrfcp ylacqrpw
"In the heat of battle, you are capable of amazing feats of strength.", "Wb hvs vsoh ct pohhzs, mci ofs qodopzs ct oaonwbu tsohg ct ghfsbuhv."
"You’ve fiddled with knots, locks, and blacksmith’s puzzles since you were a child to give your hands something to do.", "Lbh’ir svqqyrq jvgu xabgf, ybpxf, naq oynpxfzvgu’f chmmyrf fvapr lbh jrer n puvyq gb tvir lbhe unaqf fbzrguvat gb qb."
Your eidolon's attack evolves., Kagd qupaxaz'e mffmow qhaxhqe.
You are a friend of shadows and know how to avoid the troubles they bring., Hxd jan j oarnwm xo bqjmxfb jwm twxf qxf cx jexrm cqn caxdkunb cqnh karwp.
A blade of shearing wind races away from you in a 60-foot line., B cmbef pg tifbsjoh xjoe sbdft bxbz gspn zpv jo b 60-gppu mjof.
You remember more about your previous incarnations than most leshys., Kag dqyqynqd yadq mnagf kagd bdqhuage uzomdzmfuaze ftmz yaef xqetke.
"You change your grip on the shield, allowing you to combine rapid attacks with your shield boss or shield spikes and your main weapon's Strikes in a series of swift motions.", "Mci qvobus mcif ufwd cb hvs gvwszr, ozzckwbu mci hc qcapwbs fodwr ohhoqyg kwhv mcif gvwszr pcgg cf gvwszr gdwysg obr mcif aowb ksodcb'g Ghfwysg wb o gsfwsg ct gkwth achwcbg."
Air currents flow upward to slow the target's fall to 60 feet per round., Nve pheeragf sybj hcjneq gb fybj gur gnetrg'f snyy gb 60 srrg cre ebhaq.
"In place of the normal vishkanyan golden eyes, you were born with especially perceptive snow-white eyes.", "Ty awlnp zq esp yzcxlw gtdsvlyjly rzwopy pjpd, jzf hpcp mzcy htes pdapntlwwj apcnpaetgp dyzh-hstep pjpd."
You can identify alchemical items quickly., Iye mkx snoxdspi kvmrowsmkv sdowc aesmuvi.
Craft alchemical items, Mbkpd kvmrowsmkv sdowc
"You have used alchemy to create life, a simple creature formed from alchemical materials, reagents, and a bit of your own blood.", "Dtz mfaj zxji fqhmjrd yt hwjfyj qnkj, f xnruqj hwjfyzwj ktwrji kwtr fqhmjrnhfq rfyjwnfqx, wjfljsyx, fsi f gny tk dtzw tbs gqtti."
You gain the Alchemical Crafting feat., Aqw ickp vjg Cnejgokecn Etchvkpi hgcv.
"Although you may not even be aware, the alghollthus your ancestors once served maintain a stranglehold on the deepest, tethered parts of your mind.", "Qbjxekwx oek cqo dej ulud ru qmqhu, jxu qbwxebbjxki oekh qdsuijehi edsu iuhlut cqydjqyd q ijhqdwbuxebt ed jxu tuufuij, jujxuhut fqhji ev oekh cydt."
You know how to make the best and most efficient use of a hunted animal's carcass., Ukq gjks dks pk iwga pda xaop wjz ikop abbeyeajp qoa kb w dqjpaz wjeiwh'o ywnywoo.
"Even in the face of overwhelming tribulation, you find solace in the notion that this feeling is fleeting; all things are merely part of a never-ending cycle.", "Lclu pu aol mhjl vm vclydolstpun aypibshapvu, fvb mpuk zvshjl pu aol uvapvu aoha aopz mllspun pz msllapun; hss aopunz hyl tlylsf whya vm h ulcly-lukpun jfjsl."
"Your elemental heritage is reflected in the oils and fragrances of plants, in tree resin that fossilizes into amber, or in the gentle smell of a flower.", "Ukqn ahaiajpwh danepwca eo nabhaypaz ej pda keho wjz bnwcnwjyao kb lhwjpo, ej pnaa naoej pdwp bkooehevao ejpk wixan, kn ej pda cajpha oiahh kb w bhksan."
"You're so used to handling your implement, weapon, and esoterica in the heat of combat that adding a few bullets or arrows to the mix is no extra burden.", "Rhn'kx lh nlxw mh atgwebgz rhnk bfiexfxgm, pxtihg, tgw xlhmxkbvt bg max axtm hy vhfutm matm twwbgz t yxp uneexml hk tkkhpl mh max fbq bl gh xqmkt unkwxg."
"You've learned how to provide for your community, be it through hard-earned sustenance or useful crafts.", "Ukq'ra hawnjaz dks pk lnkreza bkn ukqn ykiiqjepu, xa ep pdnkqcd dwnz-awnjaz oqopajwjya kn qoabqh ynwbpo."
The magic of your bloodline mixes with that of your ancestry., Iwt bpvxr du ndjg qaddsaxct bxmth lxiw iwpi du ndjg pcrthign.
You have extensive knowledge of your ancestors' ancient origins., Ukq dwra atpajoera gjkshazca kb ukqn wjyaopkno' wjyeajp knecejo.
