Aberration Kinship,Your mind resonates with the inscrutable thought processes that inhuman aberrations use to communicate.
Acrobatic Performer,"You're an incredible acrobat, evoking wonder and enrapturing audiences with your prowess."
Acupuncturist,You’ve studied the routes by which qi flows through the body.
Acute Vision,"When you are raging, your visual senses improve, granting you darkvision."
Adapted Cantrip,"Through study of multiple magical traditions, you’ve altered a spell to suit your spellcasting style."
Adaptive Vision,"After years of using black powder weaponry in dimly lit spaces, you've become accustomed to dazzling flashes of light and sudden shifts in illumination."
Additional Lore,Become trained in another Lore subcategory
Adhyabhau,You descend from the rare psychic vampires known as vetalaranas.
Adopted Ancestry,Gain access to ancestry feats from another ancestry
Adrenaline Rush,"In the heat of battle, you are capable of amazing feats of strength."
Adroit Manipulation,"You’ve fiddled with knots, locks, and blacksmith’s puzzles since you were a child to give your hands something to do."
Advanced Weaponry,Your eidolon's attack evolves.
Aegis of the Dissolution,You are a friend of shadows and know how to avoid the troubles they bring.
Aerial Boomerang,A blade of shearing wind races away from you in a 60-foot line.
Ageless Spirit,You remember more about your previous incarnations than most leshys.
Agile Shield Grip,"You change your grip on the shield, allowing you to combine rapid attacks with your shield boss or shield spikes and your main weapon's Strikes in a series of swift motions."
Air Cushion,Air currents flow upward to slow the target's fall to 60 feet per round.
Alabaster Eyes,"In place of the normal vishkanyan golden eyes, you were born with especially perceptive snow-white eyes."
Alchemical Assessment,You can identify alchemical items quickly.
Alchemical Crafting,Craft alchemical items
Alchemical Familiar,"You have used alchemy to create life, a simple creature formed from alchemical materials, reagents, and a bit of your own blood."
Alchemical Scholar,You gain the Alchemical Crafting feat.
Alghollthu Bound,"Although you may not even be aware, the alghollthus your ancestors once served maintain a stranglehold on the deepest, tethered parts of your mind."
All of the Animal,You know how to make the best and most efficient use of a hunted animal's carcass.
All This Will Happen Again,"Even in the face of overwhelming tribulation, you find solace in the notion that this feeling is fleeting; all things are merely part of a never-ending cycle."
Ambersoul,"Your elemental heritage is reflected in the oils and fragrances of plants, in tree resin that fossilizes into amber, or in the gentle smell of a flower."
Ammunition Thaumaturgy,"You're so used to handling your implement, weapon, and esoterica in the heat of combat that adding a few bullets or arrows to the mix is no extra burden."
Anadi Lore,"You've learned how to provide for your community, be it through hard-earned sustenance or useful crafts."
Ancestral Blood Magic,The magic of your bloodline mixes with that of your ancestry.
Ancestral Insight,You have extensive knowledge of your ancestors' ancient origins.
Ancestral Linguistics,"Over your extensive lifespan, you've studied many languages."
Ancestral Longevity,You have accumulated a vast array of lived knowledge over the years.
Ancestral Mind,"By unraveling memories and connections passed down from your progenitors and buried within your unconscious mind, you learn to convert your inherent magic into psychic power."
Ancient Memories,"In the long years since Ghorus's day, you've done pretty much everything at one time or another."
Android Lore,You have a keen interest in the origins of your people.
Angelkin,"You descend from an angel, a winged messenger from Nirvana or one of the other celestial realms."
Animal Accomplice,"You build a rapport with an animal, which becomes magically bonded to you."
Animal Companion,You gain the service of a young animal companion (page 206) that travels with you on your adventures and obeys any simple commands you give it to the best of its abilities.
Animal Elocutionist,"You hear animal sounds as conversations instead of unintelligent noise, and you can respond in turn."
Animal Empathy (Druid),You have a connection to the creatures of the natural world that allows you to communicate with them on a rudimentary level.
Animal Senses,"You gain one of the following senses available to your inherent animal: darkvision, low-light vision, or scent (imprecise) 30 feet."
Aquatic Eyes,"As your connection to water grows, you can see more easily in places with less light, such as the depths of the ocean."
Arcane Communication,You can deliver silent messages.
Arcane Dragonblood,"You descend from a dragon that wields mastery of their magical abilities, such as a fortune dragon or mirage dragon."
Arcane Eye,Your eye has been magically enhanced to pierce darkness.
Arcane Fists,Your physical training encompasses unarmed combat forms.
Arcane Sense,Cast detect magic at will as an arcane innate spell
Arcane Tattoos,You have tattoos on your body corresponding to one of the ancient Thassilonian schools of magic.
Armor Assist,You are practiced in helping yourself and others don heavy gear.
Armor in Earth,Stone encases you like armor.
Armor Proficiency,Become trained in a type of armor
Artisanal Crafter,"Like many minotaurs, you take pride in creating items made from stone or metal."
"As in Life, So in Death","Specific memories of your old life are hard to hold onto, but you know things without remembering why."
Ash-piercing Gaze,Neither cinders nor winds shall prevent you from seeing those who need help.
Ask the Bones,You keep the bone of an ancestor or a friend to call upon for advice.
Assurance,Receive a fixed result on a skill check
Athamaru Lore,"You've immersed yourself in community learning, particularly around navigating the waters and tending to animals."
Athamaru Weapon Familiarity,You wield weapons designed to work underwater with ease.
Automaton Armament,You've been provided a body part designed for combat.
Automaton Lore,You have come to better understand the process that made your body and the magic that powers it.
Avenge in Glory,"You honor your ally’s life, gaining temporary Hit Points equal to your level for 1 minute."
Avowed Insight,"You become trained in the Lore skill corresponding to one creature type mentioned by your vow (for example, Fey Lore if your heritage is deny the firstborn pursuit)."
Awakened Animal Lore,You have taken the time to learn about the process of awakening and the experiences of your fellow awakened animals.
Awakened Jewel,"You once held the head gem of a deceased ancestor or loved one, and it awakened a mysterious power in your own."
Awakened Magic,"When you awakened, primal magic was released within you."
Axiomatic Lore,You possess a strong understanding of process among mortals and lawful outsiders alike.
Azarketi Lore,You have learned the history and origins of your people and how to connect to both your land and sea heritage.
Azarketi Weapon Familiarity,You are familiar with weapons that excel underwater.
Bamboo and Silt Repose,"At home among mire and copse, you flit from river to tree with a dragonfly’s shimmering grace."
Bardic Lore,Your studies make you informed on every subject.
Bargain Hunter,Earn Income by searching for deals
Battle Medicine,Heal yourself or an ally in battle
Beast Trainer,You have an impressive innate ability to tame and command ferocious beasts.
Beastbrood,"One of your ancestors was a rakshasa, the corrupt and aristocratic reincarnated souls that call Golarion home."
Bestial Manifestation,Part of your body has an animalistic influence from a planar creature.
Blast Lock,Sometimes taking the shortest distance between two points involves removing an obstacle or two.
Blessed Blood,Your deity’s blessings manifest in your blood-borne power
Blood Rising,The magic in your blood surges in response to your foe's spell.
Blowgun Poisoner,You can capably deliver toxins with a blowgun.
Bon Mot,"You launch an insightful quip at a foe, distracting them."
Bone Magic,Your connection to your iruxi ancestors manifests as a simple primal spell that you cast using a fragment of an ancestor's bones.
Bouncy Goblin,You have a particular elasticity that makes it easy for you to bounce and squish.
Breath Control,Hold your breath longer and gain benefits against inhaled threats
Breath of the Dragon,"Tapping into the physiology of your draconic ancestor, you can exhale a torrent of energy in a 15-foot cone or a 30-foot line, dealing 1d4 damage."
Brightsoul,"The fire inside you asserts itself as beaming, radiant light."
Brilliant Flash,Your light cleanses souls of fear.
Brine May,"Your mother was a sea hag, granting you one sea-green or blue eye."
Brinesoul,"Your elemental ancestor's legacy asserts itself as brackish water, like the seawater of the ocean."
Built-In Tools,You've built tools into your innovation so you can access and use them easily.
Burn It!,Fire fascinates you.
Burning Jet,"A condensed burst of flame shoots behind you, propelling you forward with its sheer force."
Cackle,"Your patron’s power fills you with confidence, letting you sustain a magical working even as a quick burst of laughter leaves your lips."
Callow May,You are among the most common of changelings—those born to sweet hags—and a vibrant green eye signifies that parentage.
Canny Acumen,Become an expert in a saving throw or Perception
Canopy Sight,You can see equally well even in dense jungles where only a small amount of light shines through.
Cantorian Reinforcement,"The life energy that helped create the first hobgoblins is particularly potent in you, protecting you from ongoing maladies."
Cat Fall,Treat falls as shorter than they are
Cat Nap,You can regain your energy quickly with a brief nap.
Cat's Luck,You instinctively twist away from danger.
Catch the Details,You are quick at recognizing broad details about people and things around you.
Catfolk Dance,You have a habit of always being in the way when other creatures attempt to move.
Catfolk Lore,"Growing up among catfolk has taught you the traditional values of freedom, stewardship, and quick reactions to trouble."
Catfolk Weapon Familiarity,You gain access to all uncommon weapons with the catfolk trait.
